item,item_en,item_id,2025,2024,2023,2022
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,net_profit_loss_before_tax,3547839490791.0,2651012449308.0,2488760002374.0,2312327554713.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,depreciation_and_amortization,85291458403.0,80821846271.0,81257091304.0,79516376971.0
Chi phí dự phòng,Provisions,provisions,-7695240894.0,77722354056.0,2374779451.0,2868205863.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,-2434348570.0,140360327.0,-1611805757.0,-8239903282.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,profit_loss_from_liquidating_fixed_assets,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,profit_loss_from_investing_activities,-110244947701.0,-47046699012.0,-79561268312.0,-21327686776.0
Chi phí lãi vay,Interest expense,interest_expense,119082599327.0,46775305829.0,118568804103.0,94421152974.0
Thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,operating_profit_loss_before_changes_in_working_capital,3631839011356.0,2809425616779.0,2609787603163.0,2459565700463.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,increase_decrease_in_receivables,235691148778.0,-261742771385.0,39100711762.0,-52151674870.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,increase_decrease_in_inventories,-2806722790389.0,-2129837921117.0,-436683979881.0,-1753323314557.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,increase_decrease_in_payables,-369026498161.0,273559805376.0,92449328770.0,76506711125.0
(Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses,increase_decrease_in_prepaid_expenses,169889358691.0,13981231920.0,-103556391934.0,-59503878567.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-117889071318.0,-46067825009.0,-122841644646.0,-90657750651.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate Income Tax paid,corporate_income_tax_paid,-607285010641.0,-555484436785.0,-466349274224.0,-464338080937.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,other_receipts_from_operating_activities,0.0,0.0,0.0,0.0
Tiền chi khác cho hoạt động kinh doanh,Other payments on operating activities,other_payments_on_operating_activities,-19687607067.0,-20648525024.0,-104164881917.0,-15516505310.0
Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh,Net cash inflows/(outflows) from operating activities,net_cash_inflows_outflows_from_operating_activities,18890403841.0,83185174755.0,1507741471093.0,100581206696.0
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",Purchases of fixed assets and other long term assets,purchases_of_fixed_assets_and_other_long_term_assets,-115542827250.0,-90406299690.0,-83115434103.0,-52384601566.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",Proceeds from disposal of fixed assets,proceeds_from_disposal_of_fixed_assets,3636364.0,3181818.0,2289295529.0,1498185785.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Loans granted, purchases of debt instruments",loans_granted_purchases_of_debt_instruments,-4067400000000.0,-1120070000000.0,-2240100000000.0,-540000000000.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Collection of loans, proceeds from sales of debts instruments",collection_of_loans_proceeds_from_sales_of_debts_instruments,3210000000000.0,960000000000.0,1680000000000.0,200000000000.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Investments in other entities,investments_in_other_entities,-1950000000.0,0.0,-3980000000.0,0.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Proceeds from divestment in other entities,proceeds_from_divestment_in_other_entities,0.0,0.0,0.0,0.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Dividends and interest received,dividends_and_interest_received,81101160826.0,39436141188.0,66432820820.0,20219137155.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash inflows/(outflows) from investing activities,net_cash_inflows_outflows_from_investing_activities,-893788030060.0,-211036976684.0,-578473317754.0,-370667278626.0
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Proceeds from issue of shares,proceeds_from_issue_of_shares,64823800000.0,67243920000.0,0.0,1447231530000.0
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",Payments for share returns and repurchases,payments_for_share_returns_and_repurchases,0.0,0.0,0.0,0.0
Tiền thu được các khoản đi vay,Proceeds from loans,proceeds_from_loans,9817871495359.0,6788859495016.0,8159472964689.0,6261254967206.0
Tiền trả nợ gốc vay,Repayment of loans,repayment_of_loans,-8936027876466.0,-5831605732949.0,-8458230585768.0,-6300139792578.0
Tiền trả nợ gốc thuê tài chính,Finance lease principal payments,finance_lease_principal_payments,0.0,0.0,0.0,0.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Dividends paid,dividends_paid,-673692457830.0,-671681829760.0,-615443389700.0,-616671158340.0
Tiền lãi đã nhận,"Interests, dividends, profits received",interests_dividends_profits_received,0.0,0.0,0.0,0.0
