item,item_en,item_id,2025,2024,2023,2022
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,21787052185671.0,14026158730456.0,11415308018413.0,9326797408285.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,2869851759629.0,2097787236988.0,960822549973.0,745556075005.0
Tiền,Cash,cash,385251759629.0,475787236988.0,514817562060.0,450488205110.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,2484600000000.0,1622000000000.0,446004987913.0,295067869895.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,5929000000000.0,986000000000.0,1194000000000.0,1119000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,728878339921.0,417127103606.0,394464296948.0,538346191905.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,233091257926.0,176150692098.0,126026140388.0,89622537320.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,94792455388.0,43997579646.0,48902780339.0,73767134666.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,410499058289.0,206546170984.0,227411821380.0,342099580137.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-9504431682.0,-9567339122.0,-7876445159.0,-7143060218.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,11926663463990.0,10234733890772.0,8426860753034.0,6483827665529.0
Hàng tồn kho,Inventories,inventories,12012604661865.0,10291473307238.0,8470079480259.0,6525562245058.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-85941197875.0,-56739416466.0,-43218727225.0,-41734579529.0
Tài sản lưu động khác,Other current assets,other_current_assets,332658622131.0,290510499090.0,439160418458.0,440067475846.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,262782269911.0,252093295842.0,230547735063.0,260931923787.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,47661947145.0,16870747637.0,186402495200.0,157021246028.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,22214405075.0,21546455611.0,22210188195.0,22114306031.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,1927183984705.0,1806391668645.0,1683141884191.0,1196999526761.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,194450060810.0,182805424079.0,179315098485.0,170162186921.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,194450060810.0,182805424079.0,179315098485.0,170162186921.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,1574317843107.0,1445982801672.0,1307637254001.0,847269560047.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,1196539820561.0,1156676461871.0,1079496087742.0,675128050014.0
Nguyên giá TSCĐ hữu hình,Cost,cost,2285328752900.0,1915183739839.0,1608729339222.0,979182072742.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-1088788932339.0,-758507277968.0,-529233251480.0,-304054022728.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,377778022546.0,289306339801.0,228141166259.0,172141510033.0
Nguyên giá TSCĐ vô hình,Cost,cost,495746297007.0,348666597970.0,255220010970.0,183893578870.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-117968274461.0,-59360258169.0,-27078844711.0,-11752068837.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0
Nguyên giá tài sản đầu tư,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
Đầu tư dài hạn,Long-term investments,long_term_investments,0.0,0.0,0.0,0.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,0.0,0.0,0.0,0.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,0.0,0.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,157004126788.0,169373442894.0,195418574905.0,177772171793.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,157004126788.0,169373442894.0,195418574905.0,177766571925.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,0.0,0.0,0.0,5599868.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,0.0,0.0,0.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,23714236170376.0,15832550399101.0,13098449902604.0,10523796935046.0
NỢ PHẢI TRẢ,Liabilities,liabilities,18575165477143.0,13712736684773.0,11379279324447.0,8474461394877.0
Nợ ngắn hạn,Current liabilities,current_liabilities,18574474295299.0,13712183502929.0,11378723422861.0,8474374694877.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,10051507915817.0,8800349446066.0,8108271528775.0,5363331144812.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,5995965425047.0,3202439604461.0,2274331043145.0,2307356375016.0
Người mua trả tiền trước,Advances from customers,advances_from_customers,61615375012.0,37870117550.0,23463598041.0,34974952041.0
Thuế và các khoản phải trả Nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,244716064984.0,124543935725.0,39713137523.0,3120462679.0
Phải trả người lao động,Payable to employees,payable_to_employees,1331638783393.0,1034444152158.0,669094486391.0,535694930652.0
Chi phí phải trả,Accrued expenses,accrued_expenses,281753290017.0,194907134412.0,125947493296.0,103346666037.0
Phải trả nội bộ,Intercompany payables,intercompany_payables,0.0,0.0,0.0,0.0
Phải trả về xây dựng cơ bản,Construction contract in progress payables,construction_contract_in_progress_payables,0.0,0.0,0.0,0.0
Phải trả khác,Other payables,other_payables,94765132430.0,89015814529.0,113315953611.0,112206340770.0
Dự phòng các khoản phải trả ngắn hạn,Provision for ST liabilities,provision_for_st_liabilities,5828163047.0,2956037244.0,303659660.0,0.0
"Quỹ khen thưởng, phúc lợi",Bonus and welfare funds,bonus_and_welfare_funds,8178120854.0,5733824194.0,10677497597.0,14021497597.0
Nợ dài hạn,Long-term liabilities,long_term_liabilities,691181844.0,553181844.0,555901586.0,86700000.0
Phải trả nhà cung cấp dài hạn,Long-term trade payables,long_term_trade_payables,0.0,0.0,0.0,0.0
Phải trả nội bộ dài hạn,Long-term intercompany payables,long_term_intercompany_payables,0.0,0.0,0.0,0.0
Phải trả dài hạn khác,Other long-term payables,other_long_term_payables,659500000.0,521500000.0,540999000.0,86700000.0
Vay dài hạn,Long-term borrowings,long_term_borrowings,0.0,0.0,0.0,0.0
Thuế thu nhập hoãn lại,Deferred income tax liabilities,deferred_income_tax_liabilities,31681844.0,31681844.0,14902586.0,0.0
Dự phòng trợ cấp thôi việc,Provision for severance allowances,provision_for_severance_allowances,0.0,0.0,0.0,0.0
Dự phòng các khoản nợ dài hạn,Provision for long-term liabilities,provision_for_long_term_liabilities,0.0,0.0,0.0,0.0
Doanh thu chưa thực hiện,Deferred revenue,deferred_revenue,0.0,0.0,0.0,0.0
Quỹ phát triển khoa học công nghệ,Technology-science development fund,technology_science_development_fund,0.0,0.0,0.0,0.0
Vốn chủ sở hữu,Owner's Equity,owners_equity,5139070693233.0,2119813714328.0,1719170578157.0,2049335540169.0
Vốn và các quỹ,Capital and reserves,capital_and_reserves,5139070693233.0,2119813714328.0,1719170578157.0,2049335540169.0
Vốn góp,Paid-in capital,paid_in_capital,1703017850000.0,1362423890000.0,1362423890000.0,1184725350000.0
Thặng dư vốn cổ phần,Share premium,share_premium,0.0,0.0,0.0,0.0
Vốn khác,Owner's other capital,owners_other_capital,0.0,0.0,0.0,0.0
Cổ phiếu quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Differences upon asset revaluation,differences_upon_asset_revaluation,0.0,0.0,0.0,0.0
